id	text
155	Dinheiro, calculo
156	Por enquanto estou sem dificuldade
157	Me dedicar cada dia mais
158	As explicacoes nao sao tao claras como eu imaginava Os conteudos sao passados muito rapido
159	Tempo de estudo complementar
160	Atualmente, como eu trabalho e estudo, estou achando o conteudo muito complexo, no entanto estou tendo pouco tempo para estudar
161	De principio, so a distancia que dificulta Fora isso, o curso e otimo
162	O TRECHO DE CASA PARA A UNIVERSIDADE ROSANA/SP A PRESIDENTE PRUDENTE
163	#NOME?
164	Nenhuma no momento
165	Ainda teria uma certa dificuldade no habito da leitura de livros grandes,pois antes de entrar no curso nao tinha esse habito,mas estou conseguindo acompanhar e me adaptar aos poucos
166	Nenhuma
167	falta de tempo para realizar as atividades fora de sala de aula 
168	
169	eu tenho um pouco de dificudade em algumas materias, mas os professores estao me ajudando e estou melhorando 
170	
171	nao me dou muito bem com corpos mas estou me adaptando
172	muita materia, aulas em que os professores nao colocam o slide no aprender sao as piores
173	nao ter acesso a bolsa Prouni
174	Nenhuma
175	estudar,pois nao tenho tempo porque trabalho a semana inteira
176	dificuldades de entender algumas materias, e poder ter quer estudar anoite ate de noite dia de quarta feira e quinta feira,e ter que sair do campus 2 para o campus 1 para assistir 3 aulasMuito cansativo,mas em relacao ao curso estou amandomas nas areas de exatas tenho dificuldades
177	muita conta
178	com os conteudos
179	nao obtenho dificuldades, porem como e primeiro termo nao me deparei com as dificuldades, logo que saberei administrar as dificuldade como alo para melhorar a vida profissional durante e depois do curso
180	Mensalidade
181	Com a dificuldade de compreensao das explicacoes dos professores pode me prejudicar nas provas e nos trabalhos
182	nao sei responder
183	Nenhuma
184	Algumas dificuldades em determinados conteudos
185	Nenhuma
186	nao apresento dificuldades, apenas falta de entendimento no dialogo de alguns professores
187	apenas fase de adaptacao
188	nenhuma
189	em aprender algumas materias
190	MATEMATICA
191	
192	O cansaco, pelo fato de andar bastante para vir estudar, e tambem por ter saido de um ensino medio que nao me capacitou muito para ingressar no ensino superior 
193	Sobre algumas materias e bastante conteudo para provas 
194	Bons profissionais, raramente acha alguem realmente interessado em te ajuda
195	nao ter conseguido o FIES me prejudicou levando ate talvez o trancamento da materia posteriormenteInfelizmente
196	estou com o raciocinio um pouco lento
197	Nenhuma dificuldade
198	Muito conteudo para estudar em fisica e calculo
199	quase nula
200	Nenhuma
201	nao diria dificuldades, mas devido a carga horaria do curso ser bem puxada fico sem tempo para estudar em casa
202	Dificuldade para se manter no curso, como os gastos com a mensalidade e transporte
203	NDA
204	Apenas na questao de que estou muito tempo sem estudar mesmo 5 anos
205	Hora aula insuficiente para o aprendizado no lab de bio celular
206	nao estou tendo dificuldades ate o momento
207	tempo 
208	adaptacoes em algumas materias
209	tempo
210	em algumas materia
211	Tempo para me dedicar igualmente para todas as materias
212	
213	nao a dificuldades 
214	encontro dificuldades da materia de matematica 
215	falta de tempo, para estudar mais  e os professores , passarem muito conteudo 
216	tempo
217	nao muito
218	gerenciar o meu tempo para manter o estudo das materias em dia
219	nenhuma dificuldade
220	n
221	A distancia da minha cidade, pois a viajem e cansativa
222	filosofia 
223	Ainda nao me deparei com grandes dificuldades 
224	nenhuma
225	
226	Nenhuma
227	Dificuldades proprias
228	trabalhar e estudar
229	nenhuma
230	Trabalhos 
231	Seria interessante se todos os professores passassem trabalhos, referente a materia dada, pois seria uma forma de sabermos exatamente o que estudar nao ficariamos meios perdidos, quanto como e o que estudarmos exatamente
232	Aula de bioquimica
233	aulas no campus 1 
234	materias diferente
235	nao estou tendo dificuldades
236	Tenho dificuldade no aprendizado em aulas teoricas, mas com esforco consigo chegar ao objetivo
237	concentracao
238	tempo 
239	
240	nenhum
241	um pouco na area de anatomia
242	nda
243	
244	Me nivelar perante ao conteudo (que e muito devido ao curso ser integral e por a matricula ter sido realizada com atraso devido ao FIES)
245	Dificuldade um pouco nas materias
246	No momento minha unica dificuldade esta de acordo com o atraso da minha ingressao no curso por conta do fies, no caso, estou quase leigo no assunto comparando com os demais
247	 algumas materia estou teno um pouco de dificuldade
248	Intercalar estudos com o trabalho e permanecer menos tempo com a familia
249	Falta de tempo
250	ate agora nenhuma dificuldade
251	
252	Nem uma
253	nao estou tendo dificuldades 
254	Nenhuma
255	
256	estou conseguindo fazer um bom curso, so estou me acostumando ainda porque e bem diferente da escola 
257	
258	no momento estou tendo dificuldade com materias de humanas
259	Viagem de onibus sem ar condicionado
260	Nenhuma dificuldade
261	tenho algumas dificuldades com alguns professores 
262	dificuldade por ter terminado o ensino medio a algum tempo e por ter dificuldade de esquecer facil o conteudo
263	As dificuldades iniciais sao em relacao a prova e os melhores metodos de estudo para alcancar o sucesso  
264	Horarios de servico com o do curso , sao bem proximos e isso desgasta muito , cansa muito  Essa e a unica dificuldade
265	
266	Metodos de ensino de alguns professores
267	NENHUMA
268	matematica 
269	
270	Algumas dificuldades que encontro sao nas aulas, no conteudo
271	NDA
272	nenhuma
273	muito diferente da escola
274	so fazer licao na sala
275	Algumas materias, mas apenas pegar o ritmo novamente
276	As dificuldades encontradas sao inerentes a uma nova area de atuacao, dentro daquilo que eu esperava
277	nenhuma
278	Tempo para estudar sozinho e dificuldade nas materias
279	
280	muitas coisas novas de uma vez
281	por enquanto nenhuma 
282	nao encontro dificuldades, por enquanto
283	nao tenho dificuldade
284	
285	um pouco mais de explicacao
286	algoritmos e logica
287	dificuldade para estudarMuita materiafalta de tempo
288	Ainda nao teho nenhuma
289	Nenhuma dificuldade
290	nao estou tendo dificuldades
291	Medo das provas, de nao conseguir acompanhar o curso, concluir no prazo determinado, etc
292	Dificuldades com o pagamento de mensalidades
293	dificuldade de estudar apenas
294	Minha dificuldade de compreender algumas coisas , por nao ter muito conhecimento nessa area
295	nao encontro dificuldades
296	Morar em outra cidade e ter que me deslocar todos os dias
297	
298	nda
299	nao estou tendo dificuldades
300	No momento nao encontrei dificuldades 
301	nda
302	Entender calculo 1
303	acompanhar a rapidez de algumas professoras na exposicao do conteudo e a forma de estudar
304	Somente em fisica
305	por enquanto nao tive nenhuma, em parte so a questao do horario, por eu trabalhar esta ficando um pouco corrido
306	a unica dificuldade que tive,foi ter comecado atrasada , pela demora do fies
307	
308	por causa do meu servico que me deixa um pouco cansado
309	
310	nao encontrei dificuldades ate entao 
311	Nenhuma 
312	
313	
314	adaptacao as materias antes nunca vistas, frequência de estudo e quanto a entrar em alguma atividade extracurricular
315	Acompanhamento da materia
316	Pelo fato de trabalhar pra pagar o curso, as vezes falta tempo, mas estou me encaixando bem, sem dificuldades ate o momento para entrega de trabalhos
317	A dificuldade, alem da financeira como a falta de financiamento, estou um pouco perdida no que estudar estudos dirigidos facilitariam
318	Nada
319	Nenhuma dificuldade ate o momento
320	Falta de tempo; falta de informacoes sobre palestras etc Existe desordem entre alunos e professores; alunos que nao colaboram com informacoes sobre aulas ja passadas, duvidas
321	organizacao com as disciplinas
322	
323	nenhuma
324	Nenhuma
325	
326	entendimento das aulas
327	FALTA DE TEMPO
328	AS AULAS DE BIOFiSICA 
329	Nenhuma
330	nao possuo muitas dificuldades
331	
332	acredito que essas dificuldades sao normais no comeco, nao e um curso facil, leva um tempo para se adaptar
333	Nenhuma
334	as dificuldades sao as normais para os alunos inciantes, onde existe aquele "medo" pois cada um ainda esta se adaptando ao conteudo por ser tudo muito novo
335	Sao dificuldades de interpretacao, que com o tempo conseguimos se adaptar 
336	Questao financeira 
337	nao estou tendo dificuldades 
338	Em algumas materias ainda estou tento dificuldade,fazia 15 anos que estava sem estudar 
339	Ler muitos livros com prazos curtos
340	Ainda nao encontrei dificuldades 
341	Dificuldade financeira
342	As dificuldades sao conciliar trabalho, com estudos, e despesas
343	Preocupada com as provas, pois temos uma materia semipresencial, e so tivemos uma aula com conteudo ate agora, por conta de imprevistos
344	
345	Pouco tempo para estudo, uma vez que trabalho E tambem alguns materiais sao disponibilizados com pouco tempo para ser desenvolvido
346	em quimica
347	nenhuma
348	Nenhuma
349	Ate o momento nao houve nenhum tipo de dificuldade a qual nao consegui resolver
350	as contas de fisica e calculo eu nao consigo entender
351	nao tenho dificuldade porem, nao tive um ensino medio muito bom para atender as demandas do curso
352	Minhas dificuldades estao sendo porque sao muito mais coisas para ser absorvidas que no ensino medio
353	Precisam delas para o curso se concluir, alem do mais sao essenciais para ser realizado 
354	muito caro 
355	falta de tempo para estudar, muitas materias e trabalhos
356	Trabalhos 
357	As poucas dificuldade que estou tento sao relacionadas ao pagamento do curso e em acompanhar trabalhos e outras materias
358	Preguica com a matematica
359	unica dificuldade e a distancia entre as cidades
360	nada a decalarar
361	nao tenho
362	nao estou tendo dificuldades
363	acessar o aprender
364	Bioquimica, biologia tecidual 
365	alguns professores acham que temos conhecimentos previos e partem dai para exoliar a materia, e nao do basico
366	
367	 Falta de tempo para estudar em casa,o cansaco por viajar 180 km por dia e o atraso do transporte
368	
369	Assuntos nunca vistos antes na escola
370	As materias 
371	nao tenho
372	Professores acolhedores e preciso 
373	Dificuldade em me relacionar com as pessoas no quesito de trabalhos em grupos
374	nenhua
375	Dificuldade de como estudar tantas materias, falta uma orientacao de como estudar
376	A distancia, por morar em outra cidade
377	Praticar e ter apoio
378	Devido a meu trabalho um pouco de falta de tempoMuita materia para as provas
379	NEHUMA
380	
381	
382	nenhuma
383	nao estou tendo dificuldades
384	unicas dificuldades por enquanto foi ao fato de ter entrado atrasado pelo FIES
385	Nenhuma
386	
387	nao estou encontrando
388	na materia de Biologia
389	
390	Pouca disponibilidade de tempo entre meu trabalho e meus horarios de aulaAulas no sabado nem sempre posso frequentar por falta de disponibilidade de tempo
391	Falta de tempo devido a trabalhar durante o dia muitas vezes os prazos dos trabalhos ficam apertados quando nao sao de uma semana para outra o que nao acontece com frequência porem ja ocorreu
392	Nenhum com relacao à faculdade Somente de separar alguns compromissos para me dedicar mais 
393	sem dificuldades
394	Ainda nao encontrei dificuldades
395	as dificuldades sao essenciais para o aprendizado
396	Muitas materias irrelevantes para o futuro contador 
397	dificuldade em materias relacionado ao corpo 
398	So A DISTANCIA QUE PRECISO VIAJAR MUITAS HORAS DE ONIBUS, FICO MAIS TEMPO DENTRO DO ONIBUS DO QUE NA SALA DE AULA
399	dificuldades de entender algumas materias
400	
401	curso explêndido apenas encontro dificuldades com questoes de tempo disponivel
402	Da minha parte e prestar muito mas muito mais atencao em matematica aplicada, dos professores nao tenho muito o que reclamar
403	dificuldades por ter que trabalhar e ter pouco tempo disponivel
404	transporte
405	nao estou tendo muita dificuldade, to gostando bastante!
406	a distancia
407	Alem de dificuldades financeiras pelo pouco dinheiro que possuo em comparacao com a mensalidade do curso, tambem tenho dificuldades em relacao a distancia de minha cidade ate o polo
408	DIFICULDADE DE INICIANTE, MATeRIA QUE NUNCA TINHA VISTO
409	conteudo dificil
410	nao estou tendo nenhuma 
411	as dificuldades sao que entrei atrasada na turma
412	A incerteza da escolha do curso
413	DIDaTICA DE ALGUNS PROFESSORES
414	nenhuma
415	
416	--
417	a materia de bioquimica 
418	nao estou tendo
419	Tenho dificuldades com o aprender, pois nao possuo computador em minha residência
420	
421	nao estou tendo
422	muita materia
423	muitas materias para estudar e memorizar, o que leva certo tempo para adaptacao
424	por enquanto nenhuma 
425	horario desgastante devido ao trabalho e estudar, mas nada que seja tao dificil
426	nao encontro dificuldades
427	
428	ausência de meios pela internet para completar os estudos visto em sala de aula
429	Muitos trabalhos
430	nao encontro dificuldades para realizar este curso ate o momento atual
431	
432	nenhuma
433	Meio de transporte
434	Uma das dificuldades seria nao morar na mesma cidade onde se localiza o curso Uma outra dificuldade seria a falta de tempo que temos para poder ir a biblioteca ou ir atras de algum professor para iniciar algum projeto de pesquisa
435	dificuldade para acompanhar as materias
436	adaptacao
437	Dificuldade no aprendizado de algumas materias por ter terminado o ensino medio a alguns anos
438	adaptacao 
439	Por ser Adventista do Setimo Dia, eu perco as aulas de revisoes aos sabados, isso atrapalha um pouco Atrapalha por ser aos sabados e por motivos religiosos nao poder participar
440	A maior dificuldade e a forma de pagamento,e muito caro
441	nao vejo dificuldades por enquanto
442	nao estou tendo dificuldades
443	Basaes Biologias do Comportamento
444	Tempo
445	nao tenho dificuldades
446	nenhuma
447	alguns problemas com horarios 
448	Nenhuma
449	
450	
451	
452	nao encontrei dificuldades no momento
453	viagem um pouca longa, as vezes o onibus quebra e gera transtorno
454	Administrar meu tempo para estudar mais
455	dificuldade de aprender, estou perdidas em algumas materias mas vou conseguir realizar esse grande sonho
456	Didatica de determinados professores deixam a desejar
457	As dificuldade enfrentadas me fazem pensar se estou fazendo aquilo que realmente queira
458	
459	
460	nenhuma
461	
462	Tempo para o estudo das materias
463	Certos professores possuem uma pessima didatica
464	
465	Somente algumas duvidas em algumas materias 
466	nenhuma
467	Dificuldades financeiras
468	Dificuldade na area educacional nenhuma, pessoalmente a adequacao da leitura no cotidiano
469	dificuldade financeira
470	os conteudos sao muito diferentes do ensino medio publico
471	Um pouco de dificuldades de assimilacao do conteudo, por nao ter muito contato com a area
472	projetos que o curso proporciona e a locomocao ate a unidade
473	nao estou tendo nenhuma dificuldade no momento 
474	nenhuma
475	Nenhuma dificuldade
476	nenhuma
477	
478	nao estou tendo dificuldades
479	Falta de tempo pra fazer os trabalhos por conta do servico
480	No momento,nao estou tendo dificuldades,o ensino e otimo
481	Fazer tarefas pelo Aprender e colocar em dia as aulas nao presenciais
482	Eu nao tenho uma concentracao muito boa acabo me distraindo um pouco, e algumas materias e dificil de compreender o professor pela fala que ele usa, e por eu estudar e trabalha acaba sendo corrido para mim conseguir estuda nas horas vagas pois e muito pouco tempo
483	Ainda nao encontrei alguma dificuldade, acho que esta dependendo mais de mim mesma
484	Dificuldade com relacao a alguns pre-requisitos
485	Alguns professores nao prestam a devida atencao que deveriam, e explicao de uma forma que nao consigo compreender corretamente (Cabreira)
486	Um pouco de dificuldade com Ensino relacionado com o ensino medio, muito tempo sem estudar
487	devido o trabalho tenho um pouco de d8ifilcudade
488	
489	nenhuma
490	poucas
491	
492	Nenhuma, acho que o curso e muito bom
493	explicacoes de alguns professores , alguns trabalhos que sao dados mais nao explicados como deveria ser 
494	
495	
496	
497	nenhuma dificuldade
498	Por hora, nao encontrei nenhuma dificuldade
499	Raorganizacao da rotina
500	recuperar o conhecimento adquirido durante o ensino medio, ja que o conclui ha muitos anos
501	deveria ter apostila para o estudo das materias 
502	No momento nao tenho nenhuma dificuldade
503	
504	tenho dificuldades, em relacao ao excesso de leituras que e passado por dia,pois sao muito rigidos
505	As materias e entendimento,mas creio que as poucos vou pegando jeito
506	Adaptacao com o ritmo de atividades pois nao estava adaptada a este ritmo
507	nao encontro muitas dificuldades, temos bastante apoio e suporte do corpo docente 
508	mensalidade 
509	entender a materia que vem sendo dada em sala de aula
510	Muita materia 
511	dificuldades de interacao
512	Por enquanto, nada
513	nao tenho dificuldades pois a vontade de estudar e individual basta você querer vencer na vida como um todo  
514	
515	ainda estou me adaptando com as diciplinaas
516	
517	locomocao de casa ate a faculdade, onibus, horario
518	nenhuma
519	conteudo para provas
520	professores fracos 
521	ate o momento nenhuma
522	Nda
523	
524	ta dificil de guard
525	
526	Algumas materias sao explicadas de forma complexa 
527	Existem algumas dificuldades pois e inicio de curso, mas com o tempo vai facilitando o aprendizado
528	Me falta um pouco de tempo pelo fato de trabalhar durante o dia e estudar a noite As vezes dificulta na realizacao de tarefas indicadas pelos professores
529	falta de tempo para me dedicar aos trabalhos e as materias que acredito que eu terei maiores dificuldades 
530	por ver algumas coisas que nunca tinha estudado na area
531	nao encontrei nenhuma dificuldade
532	Questoes financeiras para morar em prudente 
533	Administrar o tempo para os estudos, porque trabalho Porem, estou conseguindo aos poucos administra- lo 
534	Alguns professores deveriam interagir mais, principalmente nas materias massantes, de teoria por ex, pois alguns ficam so falando e falando, de uma maneira calma, chega a dar sono
535	Chegar ao campus 2 
536	No momento, nenhum
537	Eu estou tendo dificuldade para fazer um bom curso pois moro em outra cidade e acaba ficando muito cansativo para eu ir e vir todos os dias de circular, principalmente por ser desconfortavel ( pois a maior parte do trajeto eu permaneco de pe) e gasta muito tempo do meu dia, que no caso poderia usa-lo para estudar mais
538	
539	distancia,e algumas dificudades em matematicas!
540	Dificuldade financeira devido à nao disponibilidade de bolsas do ProUni
541	A minha dificuldade com a adaptacao das materias
542	nao estou tendo dificuldades
543	nenhuma dificuldade
544	espero que meus professores e colegas de sala me ajudem, e que eu consiga achar todo o material que necessito para estudar
545	
546	Algumas dificuldades relacionadas a algumas materias
547	dificuldade em logica de programacao
548	
549	
550	Nenhuma
551	nenhuma
552	dinheiro
553	preco do curso
554	nenhuma
555	Compreensao de alguns assuntos dados em sala de aula
556	Nao sei
557	a unica dificuldade e o transporte mas fora isso nao estou tendo dificuldade no curso em si
558	
559	nao estou tendo dificuldades, mas para fazer um bom curso, isso depende do aluno ir atras 
560	por ter ficado um pouco de tempo sem ir a escola, e apresentar dificuldades de entendimento
561	Por enquanto nenhuma
562	Nenhuma
563	Prestar atencao com muitos alunos na sala
564	apenas a viagem, mais diante da faculdade nao encontro nenhuma dificuldade 
565	nao sao muitas, apenas estudar e pegar onibus 
566	O valor do curso deixou o ingresso para o mesmo mais dificil
567	
568	tornando-me muitas vezes autodidata
569	Matematica
570	tempo curto para o vasto conteudo, porem sempre procurando uma maneira de melhor aproveitar todo o conteudo
571	Algumas dificuldades com as materia complexas
572	Como estou no inicio do curso, acredito que seja normal algumas dificuldades
573	Tenho algumas dificuldades em certas materias por conta de nao ter visto nelas na escola publica  
574	Com a forma de se estudar e a quantidade de materias 
575	nao tenho muitas
576	Estudos
577	Bem pouco, às vezes um ou mais professor fala muito baixo, as vezes a dinamica da aula nao e boa e fica meio complicado de entender o que dizem Mas fora disso, nao estou encontrando dificuldade nenhuma
578	
579	quanto mais me esforco,mais conhecimento terei
580	Nenhuma ate o momento
581	terei que me dedicar mais
582	Falta de organizacao pedagogicoNecessidade de um vocabulario mais adequado ao cursoFalta de organizacao pessoal
583	nao sao muitas as dificuldades, porem a organizacao com os estudos ainda esta um pouco confusa mas logo me adaptarei
584	
585	minha dificuldade a principio e em relacao as provas estou muito tempo sem estudar e confesso que estou com um pouco de receio a esse primeiro contato as aulas noturnas dificultam tambem, pois tenho uma filha que estuda em periodo integral e estou tendo que arcar com uma baba para o periodo noturno uma vez na semana
586	Algumas dificuldades em determinadas materias
587	
588	Viagem todos os dias, ida e volta ate Mirante do Paranapanema
589	nada
590	Estou me esforcando para fazer um bom curso mesmo com algumas dificuldades
591	
592	
593	Dificuldade financeira
594	Nenhuma
595	nem uma 
596	
597	bom
598	superei a maioria das dificuldades
599	Didatica de alguns professores
600	
601	estudar bastante e tirar duvidas para enfrentar as dificuldades
602	Leitura
603	Nenhuma
604	as dificuldades no inicio do curso deve ser algo normal, nao ha muito com o que se preocupar 
605	Cheguei atrasada e nao estou dando conta de tantos conteudos por causa das provas e trabalhos ja marcados 
606	
607	nao tenho dificuldades 
608	nao tenho acesso a internet em casa, moro longe da faculdade, estou desempregada
609	
610	nenhum problema 
611	
612	O grande conhecimento dos professores que estao nos preparando pro mercado de trabalho
613	entender algumas aulas
614	nenhuma
615	em anatomia 
616	dificuldades pessoais de organizacao material
617	nao ha dificuldades por enquanto
618	Manter um Ritmo de estudo constante e de qualidade, e tambem a dificuldade de memorizacao dos extensos conteudos abordados nas aulas
619	Dificuldade financeira e as relacoes interpessoais
620	Clareza em Algumas materias
621	Condicao financeira nao e plenamente favoravel
622	O curso esta muito bom, porem estou com muita dificuldade para pagar as mensalidades e manter os materiais e outros recursos financeiros 
623	Por enquanto nenhuma
624	
625	
626	As dificuldades encontradas durante o curso, sao normais pois o curso exige que o aluno entenda os conteudos para ser um bom profissional futuramente
627	dificuldade de aprendizado
628	
629	
630	Nenhuma
631	nda
632	Acompanhar alguns professores, e alguns desenhos
633	nenhuma
634	eu moro fora de presidente prudente
635	nenhuma
636	nenhuma
637	as dificuldades que eu encontro e que tem momento que eu fico em duvida em algumas materias
638	As aulas poderiam ir ate às 22h30, que e o horario correto de terminoA biblioteca e muito longe do bloco, futuramente poderiam fazer uma biblioteca para cada curso, instalada no seu respectivo bloco Os workshops deveriam ser metade dos valores para os alunos que ja pagam tao caro na mensalidade e materiais exigidos
639	
640	nao estou tendo dificuldades
641	Em si, nao estou tendo dificuldades com o curso
642	Acho que o tempo pode ser o elemento base para minhas dificuldades A labuta do trabalho me deixa tao exausto que talvez seja a unica ponte entre eu e o conhecimento  
643	Organizar o tempo/vida
644	Nenhuma no momento
645	O entendimento de algumas aulas
646	nenhum
647	
648	nenhuma
649	mais empenho da minha parte de estudar 
650	nao apresento dificuldades
651	em algumas materias tenho um pouco de dificuldade
652	
653	So financeira mesmo 
654	No momento nao estou com dificuldades
655	ate agora, nenhuma dificuldade 
656	formar ideias
657	coisas que nunca vi 
658	Custo
659	falta de experiencia com a area
660	e mais adaptacao mesmo, os conteudos sao complexos, so devo me dedicar
661	minha dificuldade e com o inglês ,porque nunca tinha estudado antes , mas vou me esforcar para aprender 
662	na maioria entrei atrasado
663	Bom que as dificuldades ajudam a solucionar minhas duvidas
664	Algumas materias sao complexas o que dificulta a aprendizagem
665	dinheiro
666	dificuldade com o transporte da minha cidade
667	Sao dificuldades com as materias, algo que e bem dormente do que o ensino medio 
668	Aprendizado do que passou, entrei atrasado
669	
670	nenhuma
671	Estou tendo dificuldades em relacao a quantidade de materia passada
672	
673	Umas das dificuldades e exatamente algumas aulas que sao complicadas de entender, mais isso e normal pois estou comecando agora
674	DIFICULDADES RELACIONADAS AO TEMPO PARA OS ESTUDOS E ALGUMAS VEZES DIFICULDADE EM COMPREENDER A EXPLICAcaO DE ALGUNS PROFESSORES
675	Aprender muita coisa de uma vez so
676	
677	Entendimento em algumas materias
678	
679	Adquirir um habito de estudo maior
680	nao estou tendo dificuldades
681	nehuma 
682	Nenhuma
683	Sem muitas dificuldades
684	Coincidir tempo de aulas e estudos
